Time,Channel A
(s),(V)

-0.25434007,1.88985900
-0.25432007,1.88985900
-0.25430007,1.97988800
-0.25428007,1.93487300
-0.25426007,1.93487300
-0.25424007,1.93487300
-0.25422007,1.88985900
-0.25420007,1.88985900
-0.25418007,1.93487300
-0.25416007,1.88985900
-0.25414007,1.93487300
-0.25412007,1.84484400
-0.25410007,1.88985900
-0.25408007,1.84484400
-0.25406007,1.93487300
-0.25404007,1.93487300
-0.25402007,1.93487300
-0.25400007,1.88985900
-0.25398007,1.93487300
-0.25396007,1.88985900
-0.25394007,1.88985900
-0.25392007,1.88985900
-0.25390007,1.93487300
-0.25388007,1.93487300
-0.25386007,1.93487300
-0.25384007,1.88985900
-0.25382007,1.88985900
-0.25380007,1.88985900
-0.25378007,1.88985900
-0.25376007,1.88985900
-0.25374007,1.88985900
-0.25372007,1.88985900
-0.25370007,1.88985900
-0.25368007,1.88985900
-0.25366007,1.93487300
-0.25364007,1.88985900
-0.25362007,1.93487300
-0.25360007,1.88985900
-0.25358007,1.88985900
-0.25356007,1.88985900
-0.25354007,1.93487300
-0.25352007,1.88985900
-0.25350007,1.88985900
-0.25348007,1.93487300
-0.25346007,1.93487300
-0.25344007,1.88985900
-0.25342007,1.93487300
-0.25340007,1.93487300
-0.25338007,1.93487300
-0.25336007,1.88985900
-0.25334007,1.88985900
-0.25332007,1.88985900
-0.25330007,1.88985900
-0.25328007,1.88985900
-0.25326007,1.88985900
-0.25324007,1.88985900
-0.25322007,1.88985900
-0.25320007,1.84484400
-0.25318007,1.88985900
-0.25316007,1.93487300
-0.25314007,1.88985900
-0.25312007,1.93487300
-0.25310007,1.88985900
-0.25308007,1.93487300
-0.25306007,1.93487300
-0.25304007,1.93487300
-0.25302007,1.93487300
-0.25300007,1.97988800
-0.25298007,1.88985900
-0.25296007,1.93487300
-0.25294007,1.88985900
-0.25292007,1.93487300
-0.25290007,1.93487300
-0.25288007,1.88985900
-0.25286007,1.88985900
-0.25284007,1.88985900
-0.25282007,1.84484400
-0.25280007,1.93487300
-0.25278007,1.88985900
-0.25276007,1.88985900
-0.25274007,1.88985900
-0.25272007,1.88985900
-0.25270007,1.88985900
-0.25268007,1.93487300
-0.25266007,1.84484400
-0.25264007,1.88985900
-0.25262007,1.88985900
-0.25260007,1.93487300
-0.25258007,1.88985900
-0.25256007,1.93487300
-0.25254007,1.88985900
-0.25252007,1.88985900
-0.25250007,1.93487300
-0.25248007,1.93487300
-0.25246007,1.88985900
-0.25244007,1.88985900
-0.25242007,1.93487300
-0.25240007,1.88985900
-0.25238007,1.88985900
-0.25236007,1.84484400
-0.25234007,1.93487300
-0.25232007,1.88985900
-0.25230007,1.88985900
-0.25228007,1.88985900
-0.25226007,1.93487300
-0.25224007,1.93487300
-0.25222007,1.93487300
-0.25220007,1.93487300
-0.25218007,1.93487300
-0.25216007,1.93487300
-0.25214007,1.93487300
-0.25212007,1.88985900
-0.25210007,1.88985900
-0.25208007,1.88985900
-0.25206007,1.93487300
-0.25204007,1.88985900
-0.25202007,1.88985900
-0.25200007,1.84484400
-0.25198007,1.84484400
-0.25196007,1.84484400
-0.25194007,1.88985900
-0.25192007,1.84484400
-0.25190007,1.88985900
-0.25188007,1.88985900
-0.25186007,1.84484400
-0.25184007,1.88985900
-0.25182007,1.93487300
-0.25180007,1.88985900
-0.25178007,1.93487300
-0.25176007,1.88985900
-0.25174007,1.93487300
-0.25172007,1.93487300
-0.25170007,1.88985900
-0.25168007,1.93487300
-0.25166007,1.88985900
-0.25164007,1.88985900
-0.25162007,1.88985900
-0.25160007,1.88985900
-0.25158007,1.88985900
-0.25156007,1.88985900
-0.25154007,1.88985900
-0.25152007,1.88985900
-0.25150007,1.88985900
