Time,Channel A,Channel B
(s),(V),(V)

-1.79359988,0.46427810,0.23297830
-1.79349988,0.46427810,0.23297830
-1.79339988,0.46427810,0.22400590
-1.79329988,0.46427810,0.23297830
-1.79319988,0.46427810,0.22400590
-1.79309988,0.46427810,0.22400590
-1.79299988,0.46427810,0.22400590
-1.79289988,0.46427810,0.23297830
-1.79279988,0.46427810,0.23297830
-1.79269988,0.46427810,0.22400590
-1.79259988,0.46427810,0.22400590
-1.79249988,0.46427810,0.22400590
-1.79239988,0.46427810,0.22400590
-1.79229988,0.46427810,0.22400590
-1.79219988,0.46427810,0.22400590
-1.79209988,0.46427810,0.23297830
-1.79199988,0.46427810,0.23297830
-1.79189988,0.46427810,0.23297830
-1.79179988,0.46427810,0.22400590
-1.79169988,0.46427810,0.23297830
-1.79159988,0.46427810,0.22400590
-1.79149988,0.46427810,0.23297830
-1.79139988,0.46427810,0.23297830
-1.79129988,0.46427810,0.22400590
-1.79119988,0.46427810,0.22400590
-1.79109988,0.46427810,0.22400590
-1.79099988,0.46427810,0.22400590
-1.79089988,0.46427810,0.22400590
-1.79079988,0.46427810,0.23297830
-1.79069988,0.46427810,0.22400590
-1.79059988,0.46427810,0.22400590
-1.79049988,0.46427810,0.22400590
-1.79039988,0.46427810,0.22400590
-1.79029988,0.46427810,0.23297830
-1.79019988,0.46427810,0.23297830
-1.79009988,0.47337260,0.22400590
-1.78999988,0.46427810,0.22400590
-1.78989988,0.46427810,0.22400590
-1.78979988,0.46427810,0.23297830
-1.78969988,0.46427810,0.23297830
-1.78959988,0.46427810,0.22400590
-1.78949988,0.46427810,0.22400590
-1.78939988,0.46427810,0.22400590
-1.78929988,0.46427810,0.22400590
-1.78919988,0.46427810,0.22400590
-1.78909988,0.46427810,0.22400590
-1.78899988,0.46427810,0.22400590
-1.78889988,0.46427810,0.22400590
-1.78879988,0.46427810,0.22400590
-1.78869988,0.46427810,0.23297830
-1.78859988,0.46427810,0.22400590
-1.78849988,0.46427810,0.22400590
-1.78839988,0.46427810,0.21503340
-1.78829988,0.46427810,0.22400590
-1.78819988,0.46427810,0.23297830
-1.78809988,0.46427810,0.22400590
-1.78799988,0.46427810,0.22400590
-1.78789988,0.46427810,0.22400590
-1.78779988,0.46427810,0.22400590
-1.78769988,0.46427810,0.23297830
-1.78759988,0.46427810,0.22400590
-1.78749988,0.46427810,0.23297830
-1.78739988,0.46427810,0.22400590
-1.78729988,0.46427810,0.22400590
-1.78719988,0.46427810,0.22400590
-1.78709988,0.46427810,0.22400590
-1.78699988,0.46427810,0.22400590
-1.78689988,0.46427810,0.22400590
-1.78679988,0.46427810,0.23297830
-1.78669988,0.46427810,0.22400590
-1.78659988,0.46427810,0.22400590
-1.78649988,0.46427810,0.22400590
-1.78639988,0.46427810,0.22400590
-1.78629988,0.46427810,0.22400590
-1.78619988,0.46427810,0.22400590
-1.78609988,0.46427810,0.22400590
-1.78599988,0.46427810,0.22400590
-1.78589988,0.46427810,0.22400590
-1.78579988,0.46427810,0.22400590
-1.78569988,0.46427810,0.22400590
-1.78559988,0.46427810,0.22400590
-1.78549988,0.46427810,0.22400590
-1.78539988,0.46427810,0.22400590
-1.78529988,0.46427810,0.23297830
-1.78519988,0.46427810,0.22400590
-1.78509988,0.46427810,0.22400590
-1.78499988,0.46427810,0.22400590
-1.78489988,0.46427810,0.22400590
-1.78479988,0.46427810,0.22400590
-1.78469988,0.46427810,0.22400590
-1.78459988,0.46427810,0.22400590
-1.78449988,0.46427810,0.22400590
-1.78439988,0.46427810,0.22400590
-1.78429988,0.46427810,0.22400590
-1.78419988,0.46427810,0.22400590
-1.78409988,0.46427810,0.22400590
-1.78399988,0.46427810,0.22400590
-1.78389988,0.46427810,0.22400590
-1.78379988,0.46427810,0.23297830
-1.78369988,0.46427810,0.23297830
-1.78359988,0.46427810,0.22400590
-1.78349988,0.46427810,0.22400590
-1.78339988,0.46427810,0.22400590
-1.78329988,0.46427810,0.22400590
-1.78319988,0.46427810,0.22400590
-1.78309988,0.46427810,0.22400590
-1.78299988,0.46427810,0.22400590
-1.78289988,0.46427810,0.22400590
-1.78279988,0.46427810,0.22400590
-1.78269988,0.46427810,0.22400590
-1.78259988,0.46427810,0.22400590
-1.78249988,0.46427810,0.23297830
-1.78239988,0.46427810,0.22400590
-1.78229988,0.46427810,0.22400590
-1.78219988,0.46427810,0.23297830
-1.78209988,0.46427810,0.22400590
-1.78199988,0.46427810,0.23297830
-1.78189988,0.46427810,0.22400590
-1.78179988,0.46427810,0.22400590
-1.78169988,0.46427810,0.22400590
-1.78159988,0.46427810,0.22400590
-1.78149988,0.46427810,0.22400590
-1.78139988,0.46427810,0.22400590
-1.78129988,0.46427810,0.23297830
-1.78119988,0.46427810,0.22400590
-1.78109988,0.46427810,0.23297830
-1.78099988,0.46427810,0.22400590
-1.78089988,0.46427810,0.23297830
-1.78079988,0.46427810,0.22400590
-1.78069988,0.46427810,0.22400590
-1.78059988,0.46427810,0.22400590
-1.78049988,0.46427810,0.23297830
-1.78039988,0.46427810,0.23297830
-1.78029988,0.46427810,0.23297830
-1.78019988,0.46427810,0.22400590
-1.78009988,0.46427810,0.22400590
-1.77999988,0.46427810,0.22400590
-1.77989988,0.46427810,0.22400590
-1.77979988,0.46427810,0.23297830
-1.77969988,0.46427810,0.22400590
-1.77959988,0.46427810,0.22400590
-1.77949988,0.46427810,0.22400590
-1.77939988,0.46427810,0.22400590
-1.77929988,0.46427810,0.22400590
-1.77919988,0.46427810,0.22400590
-1.77909988,0.46427810,0.22400590
-1.77899988,0.46427810,0.22400590
-1.77889988,0.45518360,0.22400590
-1.77879988,0.46427810,0.22400590
-1.77869988,0.46427810,0.22400590
-1.77859988,0.46427810,0.22400590
-1.77849988,0.46427810,0.23297830
-1.77839988,0.46427810,0.23297830
-1.77829988,0.46427810,0.22400590
-1.77819988,0.46427810,0.22400590
-1.77809988,0.46427810,0.22400590
-1.77799988,0.46427810,0.23297830
-1.77789988,0.46427810,0.22400590
-1.77779988,0.46427810,0.22400590
-1.77769988,0.46427810,0.22400590
-1.77759988,0.46427810,0.22400590
-1.77749988,0.46427810,0.22400590
-1.77739988,0.46427810,0.22400590
-1.77729988,0.46427810,0.22400590
-1.77719988,0.46427810,0.22400590
-1.77709988,0.46427810,0.22400590
-1.77699988,0.46427810,0.22400590
-1.77689988,0.46427810,0.23297830
-1.77679988,0.46427810,0.22400590
-1.77669988,0.46427810,0.22400590
-1.77659988,0.46427810,0.22400590
-1.77649988,0.46427810,0.22400590
-1.77639988,0.46427810,0.22400590
-1.77629988,0.46427810,0.22400590
-1.77619988,0.46427810,0.22400590
-1.77609988,0.46427810,0.22400590
-1.77599988,0.46427810,0.22400590
-1.77589988,0.46427810,0.22400590
-1.77579988,0.46427810,0.22400590
-1.77569988,0.46427810,0.22400590
-1.77559988,0.46427810,0.22400590
-1.77549988,0.46427810,0.23297830
-1.77539988,0.46427810,0.22400590
-1.77529988,0.46427810,0.22400590
-1.77519988,0.46427810,0.22400590
-1.77509988,0.46427810,0.22400590
-1.77499988,0.46427810,0.22400590
-1.77489988,0.46427810,0.22400590
-1.77479988,0.46427810,0.22400590
-1.77469988,0.46427810,0.22400590
-1.77459988,0.46427810,0.22400590
-1.77449988,0.46427810,0.22400590
-1.77439988,0.46427810,0.23297830
-1.77429988,0.46427810,0.22400590
-1.77419988,0.46427810,0.22400590
-1.77409988,0.46427810,0.22400590
-1.77399988,0.46427810,0.22400590
-1.77389988,0.46427810,0.22400590
-1.77379988,0.46427810,0.22400590
-1.77369988,0.46427810,0.22400590
-1.77359988,0.46427810,0.22400590
-1.77349988,0.46427810,0.22400590
-1.77339988,0.46427810,0.22400590
-1.77329988,0.46427810,0.22400590
-1.77319988,0.46427810,0.22400590
-1.77309988,0.46427810,0.22400590
-1.77299988,0.46427810,0.22400590
-1.77289988,0.46427810,0.22400590
-1.77279988,0.46427810,0.22400590
-1.77269988,0.46427810,0.22400590
-1.77259988,0.46427810,0.22400590
-1.77249988,0.46427810,0.22400590
-1.77239988,0.46427810,0.22400590
-1.77229988,0.46427810,0.22400590
-1.77219988,0.46427810,0.22400590
-1.77209988,0.46427810,0.22400590
-1.77199988,0.46427810,0.22400590
-1.77189988,0.46427810,0.22400590
